LAMMPS data file via write_data.

510 atoms
2 atom types

0. 19.45 xlo xhi
0. 19.45 ylo yhi
0. 19.45 zlo zhi

Masses

1 106.4
2 1.0079

Atoms # atomic

479 1 17.505 11.67 17.505
480 1 15.56 13.615 17.505
299 1 17.505 15.56 9.725
300 1 15.56 17.505 9.725
399 1 17.505 15.56 13.615
400 1 15.56 17.505 13.615
499 1 17.505 15.56 17.505
500 1 15.56 17.505 17.505
501 2 17.505 13.615 9.725
502 2 17.505 1.945 13.615
503 2 9.725 9.725 17.505
504 2 17.505 9.725 1.945
505 2 13.615 13.615 13.615
506 2 5.835 1.945 9.725
507 2 9.725 9.725 13.615
508 2 1.945 5.835 17.505
509 2 5.835 13.615 5.835
510 2 5.835 1.945 13.615
